Temperature,Correlation_time,Magnetization_mean,Magnetization_std,Energy_mean,Energy_std,Magnetic_susceptibility_mean,Magnetic_susceptibility_std,Specific_heat_mean,Specific_heat_std
1.0,3916.8282843063985,0.9992505005000001,7.989259490840558e-05,-1.9972281470000004,0.00021832763295381654,0.0030055464462488894,0.008041358985557882,0.02305572034049034,0.01453519536831266
1.0,8148.202756886403,0.9990787360000002,0.00019984785301409378,-1.9969731850000005,0.0003549070233398563,0.008990309544683746,0.024428041153401202,0.029537110267331204,0.020010632478817746
1.0,7800.423781076788,0.9991220660000003,0.00014914141969167908,-1.9969542199999992,0.0003324844565952735,0.005307027299981564,0.012577837170230215,0.02686252865580221,0.015979533389281486
1.2,3928.1792434347876,0.9972201780000004,0.00011671884124465276,-1.9893586540000003,0.0004238693602277162,0.00513394945282489,0.002646519572433074,0.05671301353027423,0.018089767905429446
1.2,4451.199935752087,0.9970544674999997,0.0001381877765403531,-1.9888363030000011,0.00048273507321918086,0.006428818863449675,0.0039429580448692315,0.06543164137478052,0.02048393661378559
1.2,2824.8808425860084,0.9970021980000003,9.859281115184516e-05,-1.9885151039999993,0.00036860816605258307,0.005119297923582296,0.002142259234237386,0.05964102332175724,0.02434771248453126
1.4,6490.5188145257025,0.9907291224999999,0.00042771503101719,-1.9667898029999984,0.000981505665536483,0.03746835702380964,0.07877419014034767,0.14897123724242461,0.044134387546342344
1.4,15448.644368941794,0.9905746634112594,0.0007134789061953701,-1.9671812349375037,0.0012518055751092783,0.06397164944168181,0.14497693485810845,0.15386371843311558,0.046721969941523465
1.4,14279.335271632222,0.990820525444085,0.0005142837461101522,-1.9672812221844833,0.0012254137760887758,0.03362167640370982,0.05357900199214719,0.14749536383075984,0.03522775932589244
1.5999999999999999,10734.35064088226,0.9792021803809964,0.0007913999007371286,-1.9284563391631326,0.0018959532848493899,0.07008901987974533,0.09118746600874202,0.26947086131939435,0.08030734659529004
1.5999999999999999,7180.788909099414,0.9795481900000007,0.0005297952101589936,-1.9284716099999986,0.0015624173112643548,0.04298790332377673,0.02685174875637088,0.24750366901956466,0.08645978166936216
1.5999999999999999,24034.25055975192,0.9790403129698692,0.0009803802680377284,-1.9283152578532423,0.0019033905023779808,0.10984178384260739,0.20929568846901675,0.27788235513650583,0.09566462824594514
1.7999999999999998,221964.0307513561,0.9534301693402076,0.00320150027233574,-1.8571510757133602,0.0028966277112364228,1.0197026038036168,2.73182479153004,0.5074705926831583,0.22527604161735293
1.7999999999999998,9059.365142344443,0.9580807574999998,0.000883168804653881,-1.8613352049999998,0.002432009211922383,0.08240722004465306,0.031922679403481855,0.36513815942165,0.10784911789289067
1.7999999999999998,41459.12540667833,0.9557499773119975,0.0014082613260354827,-1.858563401614424,0.002823990926412206,0.20637072099958442,0.2675797957437546,0.48195432098108687,0.13148411177703115
1.9999999999999998,44438.35047693853,0.9112329716250012,0.0012123830122777036,-1.746113491333335,0.002303395082050767,0.36012260492364717,0.1505377922020727,0.6932885718115089,0.10330300088190054
1.9999999999999998,85196.20632842765,0.9101208318004134,0.0024847513021950688,-1.7451284575936652,0.003995386654154598,0.5698997776051425,0.5920841340493579,0.781942920401171,0.09328414852028466
1.9999999999999998,56942.89541097085,0.9103547869055236,0.0021250613350279005,-1.7447657038052924,0.003871658906109985,0.4073649351861701,0.19232879450294166,0.7189530094091594,0.1245148623711423
2.1999999999999997,180223.24263149578,0.7864008497793405,0.006568548069037563,-1.5479444765608625,0.005709744965843451,3.7177070040987723,2.8519489885604545,1.3178628040658513,0.20030627107185978
2.1999999999999997,48769.92564063205,0.792411131139957,0.005074478087169444,-1.5479279080478632,0.005470676967135779,2.0306417626126163,1.2181984860468806,1.1830805468041574,0.23665128490384424
2.1999999999999997,365027.4840409713,0.7793924539690947,0.007597288324786413,-1.5444082715481682,0.005860598169659182,4.777422142425146,2.817620474478786,1.3743293586704453,0.18173717951151566
2.3999999999999995,480614.2144220115,0.19468855832346663,0.01584623801144727,-1.2028234052789444,0.00579797175783299,47.061470171877346,11.75052511397773,1.1533796925917015,0.0838611091335495
2.3999999999999995,445062.12674289756,0.18765901762425188,0.01529002515027533,-1.2051432083458247,0.005826371918413355,48.41370892941536,17.264040769785368,1.1447613534428212,0.12311455745348389
2.3999999999999995,712523.8379991682,0.1998219282975593,0.015378527109710499,-1.204857690560113,0.005704446803500398,51.61784059119443,15.311355213287255,1.1173783854359587,0.0981848254706245
2.5999999999999996,104921.48242262166,0.09859115544664082,0.007929621088691307,-1.028610692172879,0.004984328725090078,11.144759977993411,2.9997147423967867,0.727088504930782,0.07757475092365798
2.5999999999999996,101822.35387479875,0.10070433182689036,0.008139697983786203,-1.0312256887070315,0.004832337928009685,11.678923156725558,4.693982830776359,0.6732553753283417,0.05815036821794752
2.5999999999999996,131550.91516923337,0.09069117959451804,0.007792575163999938,-1.0262147318234354,0.004766446805826886,11.596812359233514,3.6873823567578756,0.6634257419871322,0.058578156052130965
2.8,63604.0971243826,0.0696014087925525,0.005723613928116214,-0.906888349711662,0.00448856874923741,6.110699687455018,1.9759975985937261,0.506929126896601,0.0530226123679108
2.8,56734.61107473341,0.06726407235714284,0.0051032400121935355,-0.9081612824285712,0.0041253794894532,5.514226049382841,2.1594066547287443,0.5212066269666472,0.07052749258645047
2.8,42674.7740299208,0.06572189808795177,0.005099689520502115,-0.9092209044977668,0.00449543559558093,5.215002312298947,1.9060529422408496,0.5054502373308477,0.05270971958508743
